sunday,monday,tuesday,wednesday,thursday,friday,saturday,hourofday,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,estimated_distance,fare_amount
0,0,1,0,0,0,0,11,40.755617,-73.98643,40.7586,-73.999097,1,1.469922605,5.0
0,0,1,0,0,0,0,11,40.776347,-73.95304,40.76812,-73.95689,1,1.27686858431,6.5
1,0,0,0,0,0,0,21,40.753657,-73.996625,40.759255,-73.976375,2,2.38872534567,6.5
0,1,0,0,0,0,0,16,40.709107,-74.01505,40.717885,-73.997807,2,2.30318459697,9.0
0,0,0,1,0,0,0,21,40.755862,-73.984345,40.750347,-73.98152,1,0.865396697507,5.3
0,0,0,0,1,0,0,22,40.761869,-73.985295,40.768523,-73.987366,4,1.00008973068,5.4
0,1,0,0,0,0,0,11,40.757618,-73.977487,40.775835,-73.976965,1,2.66558095436,7.7
1,0,0,0,0,0,0,20,40.724894,-73.990468,40.721494,-73.997461,1,0.921132271416,4.1
0,0,0,1,0,0,0,19,40.759648,-73.961885,40.772942,-73.957793,1,1.99691930587,5.5
0,1,0,0,0,0,0,12,40.7652778625,-73.972366333,40.7589988708,-73.9692230225,2,0.982364156835,5.5
0,1,0,0,0,0,0,19,40.759593,-73.977799,40.745018,-73.997637,1,3.06256366596,8.5
1,0,0,0,0,0,0,16,40.7958526611,-73.9386291504,40.7592430115,-73.9843978882,1,7.37488907227,17.0
1,0,0,0,0,0,0,11,40.76966,-73.980919,40.695406,-74.177683,1,24.3670165979,74.0
0,1,0,0,0,0,0,23,40.751981,-73.97988,40.74302,-73.995116,1,2.13769418977,6.1
0,0,1,0,0,0,0,0,40.741806,-73.993636,40.776813,-73.989139,1,5.14533815047,9.7
0,0,0,1,0,0,0,17,40.80493,-73.966282,40.80989,-73.964888,2,0.741831445678,3.7
0,0,0,1,0,0,0,12,40.746992,-73.977167,40.768933,-73.951908,2,4.25870635878,9.3
0,0,0,0,0,1,0,21,40.735851,-74.001506,40.737341,-74.00919,2,0.879189472728,5.7
1,0,0,0,0,0,0,15,40.763463,-73.996623,40.770375,-73.960197,2,4.16057784584,10.9
0,0,0,1,0,0,0,6,40.771055,-73.950703,40.759365,-73.829985,1,13.4842359057,4.5
0,0,1,0,0,0,0,0,40.744287,-73.995605,40.755335,-73.991282,1,1.68571878339,4.5
1,0,0,0,0,0,0,13,40.744037,-73.992123,40.760667,-73.967707,1,3.63863994812,10.0
0,0,0,1,0,0,0,15,40.754042,-73.971997,40.777567,-73.958975,1,3.73166319135,10.5
0,0,1,0,0,0,0,3,40.726107,-73.989558,40.744247,-73.999252,2,2.8629975355,7.3
0,0,1,0,0,0,0,0,40.768052,-73.984888,40.743047,-74.003738,2,4.21236481522,8.1
0,1,0,0,0,0,0,11,40.757958,-73.977408,40.749857,-73.99332,5,2.12455812809,10.1
1,0,0,0,0,0,0,21,40.764947,-73.967937,40.730578,-74.000013,1,6.15762009752,10.1
0,0,0,0,0,0,1,4,40.743726,-74.007052,40.767427,-73.961263,1,6.14555141139,14.6
0,1,0,0,0,0,0,14,40.654162,-73.931495,40.589963,-73.869942,1,11.6152921777,32.9
0,0,0,0,0,0,1,1,40.748852,-74.00686,40.750012,-73.946212,1,6.72343513042,13.3
0,0,0,1,0,0,0,21,40.757817,-73.96792,40.717987,-73.964225,5,5.84108243791,15.3
0,1,0,0,0,0,0,11,40.765616,-73.96346,40.77828,-73.954334,1,2.11053711888,4.5
0,0,0,0,0,1,0,18,40.751697,-73.994177,40.759303,-73.994688,1,1.11411691009,5.0
0,0,0,0,1,0,0,12,40.740183,-74.005858,40.739137,-73.992823,1,1.45289202859,7.5
0,0,0,0,0,1,0,6,40.788033,-73.953966,40.761932,-73.981175,1,4.86469144849,8.5
0,0,0,0,0,1,0,8,40.7727890015,-73.9624862671,40.7632904053,-73.9782180786,5,2.22908650801,10.5
0,1,0,0,0,0,0,20,40.734732,-74.002275,40.76526,-73.967674,2,5.88631463839,16.0
0,0,0,1,0,0,0,23,40.719399,-73.997208,40.60169,-74.00251,1,17.2296246136,28.5
0,0,0,0,1,0,0,7,40.750068,-73.991378,40.75082,-73.980538,1,1.20634741916,6.1
0,1,0,0,0,0,0,15,40.789284,-73.966443,40.780073,-73.959504,1,1.55126786062,6.9
0,0,0,0,0,1,0,20,40.715842,-74.009363,40.726445,-74.002606,1,1.72254812885,5.7
0,0,0,1,0,0,0,12,40.738767,-73.992822,40.733367,-73.99557,1,0.846656101278,4.5
0,0,1,0,0,0,0,11,40.754357,-73.992867,40.767312,-73.989965,1,1.92226485194,5.5
0,1,0,0,0,0,0,16,40.77631,-73.95783,40.79266,-73.9647,1,2.50996462981,8.0
0,0,0,0,0,0,1,10,40.727765,-74.00343,40.754,-73.979252,1,4.68093509801,10.0
0,0,0,0,0,0,1,3,40.759213,-73.98433,40.748477,-73.97693,5,1.77176347026,5.3
0,0,0,1,0,0,0,21,40.759207,-73.972373,40.78038,-73.975753,1,3.1199394953,7.3
0,0,1,0,0,0,0,15,40.709635,-74.014217,40.7173,-73.998308,2,2.09027474299,8.9
0,0,1,0,0,0,0,7,40.752674,-73.978114,40.741555,-73.985603,1,1.82611367691,5.5
0,0,0,0,0,1,0,20,40.762714386,-73.9656143188,40.7809371948,-73.9506378174,1,3.13997974035,6.0
0,1,0,0,0,0,0,6,40.750132,-73.99196,40.735987,-73.982335,1,2.32806565086,6.5
1,0,0,0,0,0,0,0,40.73401,-73.998496,40.749367,-74.003085,1,2.30342488437,7.0
0,0,0,0,1,0,0,8,40.790864,-73.953563,40.75602,-73.974762,1,5.61231659146,12.5
0,0,1,0,0,0,0,20,40.7794036865,-73.9737091064,40.7685394287,-73.987487793,1,2.20363755814,14.0
0,0,0,1,0,0,0,9,40.742535,-73.978575,40.742316,-74.004467,1,2.86995299191,8.1
0,0,0,0,1,0,0,12,40.706082,-74.009586,40.728699,-73.978508,1,4.77713439638,10.9
0,1,0,0,0,0,0,21,40.744562,-73.98702,40.74724,-73.99078,2,0.571958126204,4.5
0,1,0,0,0,0,0,21,40.788137,-73.976545,40.781815,-73.95636,1,2.41953106307,7.0
0,0,0,0,0,0,1,10,40.788372,-73.976193,40.774227,-73.983515,1,2.22253975536,7.0
1,0,0,0,0,0,0,13,40.782657,-73.953512,40.762285,-73.95827,3,3.02646501583,7.5
0,0,0,0,0,0,1,12,40.734911,-73.99111,40.749902,-73.988015,1,2.21969129273,8.5
1,0,0,0,0,0,0,21,40.782195,-73.97166,40.756648,-73.993847,1,4.47319353701,8.5
0,0,0,1,0,0,0,12,40.775557,-73.958508,40.75268,-73.97915,1,4.05353448766,11.0
0,0,0,1,0,0,0,12,40.76233,-73.972552,40.743512,-73.983702,6,3.01746469943,11.0
0,0,0,0,0,0,1,10,40.7725,-73.986115,40.714387,-73.992712,2,8.53269947411,23.0
0,1,0,0,0,0,0,15,40.751473,-73.993852,40.752643,-73.996947,5,0.383323037073,10.1
1,0,0,0,0,0,0,13,40.715613,-74.011248,40.708493,-74.001538,1,1.49806485954,6.1
0,0,0,0,1,0,0,9,40.767848,-73.983858,40.757735,-73.9664,1,2.4352727578,6.1
0,1,0,0,0,0,0,19,40.756025,-73.983616,40.785592,-73.972371,1,4.50117990866,10.3
0,0,0,0,0,0,1,22,40.758824,-73.981451,40.775306,-73.949374,3,4.29469120368,10.1
